"","state","puma","X","jpumarow","serialno.household","sex","age","educ","income","latino","black","asian","married","divorced","uscitizen","children","disability","militaryservice","employed","englishability","fips"
"33102",13,1107,541,17,2424079,1,39,9,13800,0,1,0,0,0,1,1,1,0,1,NA,13121
"32073",13,1106,540,16,9623098,1,31,9,13400,0,1,0,0,0,1,0,0,0,1,NA,13121
"33450",13,1107,541,17,2233085,0,30,9,14600,0,1,0,0,0,1,0,0,0,1,NA,13121
"18499",13,1102,536,12,5416674,1,51,11,55000,0,1,0,0,0,1,0,0,0,1,NA,13121
"11191",13,1101,535,11,328918,1,38,13,49100,0,0,0,1,0,1,1,0,0,1,NA,13121
"16477",13,1102,536,12,9085537,1,57,11,40000,0,0,0,0,0,1,0,0,0,1,NA,13121
"12898",13,1102,536,12,5611179,1,24,12,18000,0,0,0,1,0,1,0,0,0,1,NA,13121
"26382",13,1105,539,15,3599084,1,58,9,0,0,1,0,0,1,1,0,0,0,0,NA,13121
"14368",13,1102,536,12,4262507,0,76,11,37000,0,0,0,0,0,1,0,0,1,0,NA,13121
"33394",13,1107,541,17,7552370,1,67,14,21900,0,1,0,1,0,1,0,0,0,0,NA,13121
"23243",13,1104,538,14,9005799,1,30,13,35400,0,0,0,0,0,1,0,0,0,1,1,13121
"31830",13,1106,540,16,3893327,1,41,7,7200,0,1,0,0,0,1,1,1,0,0,NA,13121
"22441",13,1104,538,14,9560368,1,47,9,410,0,1,0,0,1,1,0,0,0,0,NA,13121
"24891",13,1104,538,14,994232,1,22,11,0,0,0,0,0,0,1,0,0,0,0,1,13121
"12793",13,1101,535,11,975524,1,54,13,87000,0,0,0,1,0,1,0,0,0,0,NA,13121
"27002",13,1105,539,15,9159412,0,69,14,35640,0,0,0,1,0,1,0,0,1,1,NA,13121
"19144",13,1103,537,13,1900631,0,43,13,315000,0,0,0,1,0,1,0,0,0,1,NA,13121
"20207",13,1103,537,13,9071651,0,60,7,14000,0,1,0,0,0,1,0,1,0,1,NA,13121
"21941",13,1103,537,13,3937666,1,48,14,12000,1,1,0,1,0,1,0,0,0,1,NA,13121
"24042",13,1104,538,14,9697977,1,32,9,5100,0,1,0,0,0,1,0,0,0,0,NA,13121
"29284",13,1106,540,16,8043580,1,70,9,10100,0,1,0,1,0,1,0,0,0,0,NA,13121
"31407",13,1106,540,16,2113476,1,56,14,9000,0,1,0,0,0,1,0,1,0,1,NA,13121
"16435",13,1102,536,12,9404912,0,49,11,315000,0,0,0,0,0,1,0,0,1,1,NA,13121
"22448",13,1104,538,14,3243256,1,19,9,8400,0,1,0,0,0,1,0,1,0,1,NA,13121
"28574",13,1105,539,15,3739400,1,57,9,18000,0,1,0,1,0,1,0,0,0,1,NA,13121
"31576",13,1106,540,16,94046,0,53,9,15000,0,1,0,0,0,1,0,1,1,1,NA,13121
"25537",13,1104,538,14,1331090,0,39,9,5400,0,1,0,1,0,1,0,0,1,0,NA,13121
"16108",13,1102,536,12,5444678,0,27,13,46700,0,0,0,1,0,1,0,0,0,1,1,13121
"31804",13,1106,540,16,8703593,0,39,9,0,0,1,0,0,0,1,0,0,0,0,NA,13121
