"","state","puma","X","jpumarow","serialno.household","sex","age","educ","income","latino","black","asian","married","divorced","uscitizen","children","disability","militaryservice","employed","englishability","fips"
"34632",13,1107,541,17,5371904,0,48,13,41000,0,1,0,1,0,1,0,0,0,0,NA,13121
"34940",13,1107,541,17,4333489,0,29,9,12000,0,1,0,0,0,1,0,0,0,1,NA,13121
"9763",13,1101,535,11,4217518,1,53,11,0,0,0,0,1,0,1,0,0,0,0,NA,13121
"15388",13,1102,536,12,310335,1,25,9,0,1,0,0,1,0,0,1,0,0,0,0,13121
"16919",13,1102,536,12,8133088,0,30,13,28000,0,0,0,0,0,1,0,0,0,1,NA,13121
"21981",13,1103,537,13,7118141,0,63,15,140400,0,0,0,1,0,1,0,0,1,0,NA,13121
"18226",13,1102,536,12,9932867,0,49,4,12000,1,0,0,1,0,0,0,0,0,1,0,13121
"19364",13,1103,537,13,9506448,0,79,15,99000,0,0,0,1,0,1,0,1,1,1,NA,13121
"29835",13,1106,540,16,49076,0,29,13,35000,0,1,0,1,0,1,0,0,0,1,NA,13121
"17640",13,1102,536,12,9720569,0,20,8,15000,1,0,0,0,0,0,0,0,0,1,0,13121
"23314",13,1104,538,14,9697977,0,42,7,0,0,1,0,0,0,1,0,1,0,0,NA,13121
"13240",13,1102,536,12,3790430,0,31,13,52000,0,0,0,1,0,1,0,0,0,1,NA,13121
"33765",13,1107,541,17,6917559,1,28,9,0,0,1,0,0,0,1,1,0,0,1,NA,13121
"29226",13,1106,540,16,9595073,0,24,5,5100,0,1,0,0,0,1,0,0,0,0,NA,13121
"19369",13,1103,537,13,6173158,0,33,13,81000,0,0,0,0,0,1,0,0,0,1,NA,13121
"11012",13,1101,535,11,8480280,1,44,12,90000,0,0,0,1,0,1,1,0,0,1,NA,13121
"12856",13,1102,536,12,3506566,1,23,13,53090,0,0,0,0,0,1,0,0,0,1,NA,13121
"29572",13,1106,540,16,49132,0,58,9,30000,0,1,0,1,0,1,0,0,0,1,NA,13121
"12840",13,1102,536,12,8860801,1,27,10,34000,0,0,0,0,0,1,0,0,0,1,NA,13121
"10261",13,1101,535,11,1647552,0,58,13,253600,0,0,1,1,0,1,0,0,0,1,NA,13121
"33867",13,1107,541,17,2625939,0,47,9,25000,0,1,0,1,0,1,0,0,0,1,NA,13121
"9699",13,1101,535,11,559371,1,58,11,11100,0,0,0,1,0,1,0,0,0,1,NA,13121
"23858",13,1104,538,14,3059864,0,82,15,159300,0,0,0,1,0,1,0,0,1,0,NA,13121
"15574",13,1102,536,12,6685468,1,83,9,16500,0,0,0,0,0,1,0,0,0,0,NA,13121
"33971",13,1107,541,17,8183137,0,51,13,15200,0,1,0,1,0,1,0,1,1,0,NA,13121
"20652",13,1103,537,13,3765345,1,30,13,40200,0,0,0,0,0,1,0,0,0,1,NA,13121
"29628",13,1106,540,16,3562471,0,37,8,18000,0,1,0,0,0,1,0,0,0,0,NA,13121
"10295",13,1101,535,11,6738121,0,48,13,127500,0,0,0,1,0,1,0,0,1,1,NA,13121
"11673",13,1101,535,11,9841900,0,48,13,330000,0,0,0,1,0,1,0,0,0,1,NA,13121
"24229",13,1104,538,14,3538552,1,26,13,23700,0,0,0,1,0,1,0,0,0,1,NA,13121
"22790",13,1104,538,14,5319475,0,45,14,20000,0,0,0,1,0,1,0,0,0,1,NA,13121
"14231",13,1102,536,12,8507172,0,53,14,70130,0,0,1,1,0,0,0,0,0,1,1,13121
"31339",13,1106,540,16,6379698,0,23,9,12700,0,1,0,0,0,1,0,0,0,0,NA,13121
"21974",13,1103,537,13,1203070,0,23,11,15000,0,0,0,0,0,1,0,0,0,1,NA,13121
"21854",13,1103,537,13,1342818,1,26,13,25000,0,0,0,0,0,1,0,0,0,1,NA,13121
"33992",13,1107,541,17,4863809,1,36,11,29000,0,1,0,0,0,1,0,0,0,1,NA,13121
"15863",13,1102,536,12,1965025,1,69,13,29200,0,0,0,0,1,1,0,0,0,0,NA,13121
"16559",13,1102,536,12,292155,1,37,9,0,1,0,0,1,0,0,1,0,0,0,0,13121
"22778",13,1104,538,14,7727920,0,28,13,50000,0,0,0,0,0,1,0,0,0,1,NA,13121
"35023",13,1107,541,17,9783594,0,61,10,0,0,1,0,1,0,1,0,0,1,0,NA,13121
"17791",13,1102,536,12,7004724,0,24,14,38000,1,0,0,0,0,1,0,0,0,1,NA,13121
"29350",13,1106,540,16,9039703,1,29,7,650,0,1,0,1,0,1,1,1,0,0,NA,13121
"30509",13,1106,540,16,7103524,1,60,14,10400,0,1,0,1,0,1,0,0,0,1,NA,13121
"11971",13,1101,535,11,9625640,0,63,10,333300,0,0,0,1,0,1,0,0,1,0,NA,13121
"12218",13,1101,535,11,7403657,0,49,13,164900,0,0,0,1,0,1,0,0,1,1,NA,13121
"24183",13,1104,538,14,8627818,0,23,13,9000,0,0,1,0,0,1,0,0,0,1,NA,13121
"18145",13,1102,536,12,9826789,0,42,14,105000,0,0,0,1,0,1,0,0,0,1,NA,13121
"20559",13,1103,537,13,1225278,1,32,13,5700,0,0,0,1,0,0,0,0,0,1,NA,13121
